,dc_p_val,dc_delta,sc_p_val,sc_delta,LAM.pct,Control.pct,pct.fc,Score
FOXP1,1.96969470500512e-255,0.219916469923111,1.20112902735693e-235,0.211144912160181,0.646,0.649,0.99537750385208,0.101839417355631
IRF3,3.80819672690996e-298,0.237738344350083,0,0.262255571308595,0.187,0.206,0.907766990291262,0.116134652656911
ID2,1.82170819909754e-207,0.198003722274979,0,0.250118339676272,0.412,0.376,1.09574468085106,0.126615385992956
KLF5,0,0.328932762310022,4.14819555051764e-227,0.207256987557217,0.593,0.489,1.21267893660532,0.135808428510358
SRSF2,1.71605571773923e-207,0.198016230247335,3.86638646371005e-127,0.154485981807209,0.592,0.478,1.23849372384937,0.144255505678927
RELB,4.32233752827529e-219,0.203530644913494,7.09150657311745e-223,0.205298146067651,0.176,0.055,3.2,0.145496101119094
ZFHX3,6.49595440751504e-303,0.239645682424069,0,0.230256731755649,0.256,0.206,1.24271844660194,0.162265989718003
MECOM,6.52767809642407e-280,0.230298872300121,1.82998255067443e-215,0.201822366968889,0.605,0.491,1.23217922606925,0.162265989718003
ZNF407,9.18319032257023e-120,0.149894210230767,1.59878566626826e-130,0.156591118157832,0.25,0.092,2.71739130434783,0.192769955179708
PKNOX1,0,0.253892945328228,2.8678455121556e-219,0.186824652409129,0.127,0.074,1.71621621621622,0.214952743921891
ETV1,3.25022191330196e-89,0.129006502544482,2.73008836702151e-113,0.145717412843526,0.579,0.478,1.21129707112971,0.215648622191097
ATF7,5.9985616890377e-214,0.201104452815285,4.03155457671281e-205,0.195447139997415,0.313,0.259,1.20849420849421,0.22790987474574
DMTF1,8.08823262251178e-126,0.153698921173088,2.79768156698186e-111,0.144386608044521,0.238,0.118,2.01694915254237,0.22790987474574
RELA,5.46452137567019e-294,0.236062962258404,3.51396695435979e-250,0.217624819537903,0.191,0.141,1.35460992907801,0.242831737861602
KLF7,3.74804812947554e-181,0.184885337233005,7.27102443917925e-198,0.193320075619671,0.11,0.038,2.89473684210526,0.242831737861602
SMARCA4,3.51752667639717e-227,0.207289974903998,0,0.346665895322644,0.315,0.288,1.09375,0.257735186950545
NFIB,8.80726071404191e-134,0.158563988705084,6.60284965833602e-171,0.179518788072404,0.351,0.294,1.19387755102041,0.268233051827181
PRDM16,1.19946005513849e-105,0.140626946388795,2.20898623252865e-267,0.149648533982533,0.229,0.116,1.97413793103448,0.268233051827181
MXD1,2.98662007289258e-170,0.179170028748132,3.01954041837667e-207,0.197588858640851,0.101,0.074,1.36486486486486,0.273304381657973
SSRP1,0,0.300753002046794,1.21161776544564e-275,0.228522355189055,0.209,0.242,0.863636363636364,0.279910162472133
TOX,1.19174440703344e-77,0.120160609837038,1.11514973595612e-211,0.167794597821608,0.428,0.284,1.50704225352113,0.28292727434491
GTF3A,1.66349217933544e-249,0.217328409947364,0,0.249490825263131,0.313,0.365,0.857534246575342,0.289556641081203
MAFF,9.2824865856917e-81,0.122600819556201,1.78690541702468e-80,0.122379545481404,0.252,0.162,1.55555555555556,0.298286269589907
BHLHE40,3.03452562075133e-173,0.180757180266148,2.61099541769282e-177,0.182874195568876,0.419,0.359,1.16713091922006,0.306509250332878
ETV5,7.68526493338953e-158,0.172433721279984,0,0.301696036829326,0.494,0.436,1.13302752293578,0.306509250332878
NR6A1,1.53790876569882e-75,0.118475174858099,7.24972834749135e-148,0.14009282813985,0.278,0.125,2.224,0.314333882613915
