,dc_p_val,dc_delta,sc_p_val,sc_delta,LAM.pct,nonLAM.pct,pct.fc,Score
PML,2.55868759358219e-05,0.103552227500477,0.011605878890824,0.0574628031879457,0.289,0.166,1.74096385542169,1
VEZF1,4.86933543012557e-05,0.099635639850966,9.50170024989331e-08,0.132053627484732,0.187,0.129,1.44961240310078,1
BRD4,9.62013038216495e-05,0.0953346391236557,0.00612914078985425,0.0633502177426904,0.605,0.484,1.25,1
BACH2,0.000123598606722976,0.0937074927846664,1.13762353017204e-09,0.152810562880227,0.137,0.424,0.32311320754717,1
NRF1,0.000153244113639753,0.0922912546906033,0.00327442048196084,0.0695161016793153,0.664,0.486,1.36625514403292,1
SMARCC1,0.00021714802605427,0.0899534435226103,0.00639129041465528,0.0634316827658002,0.744,0.584,1.27397260273973,1
NCOA6,0.000988003220763867,0.0791001874870508,4.93255570716678e-05,0.0972676709580718,0.638,0.477,1.33752620545073,1
ABL1,0.0024462193331967,0.0719469318039842,3.85809161120609e-25,0.260923265039794,0.865,0.647,1.33693972179289,1
KDM5C,0.00662512465024978,0.0633292639987655,0.000299441172333846,0.0873410795603865,0.301,0.248,1.21370967741935,1
MECOM,0.0133515296972396,0.0566526570326444,1.74105112475882e-07,0.13027197176297,0.429,0.508,0.844488188976378,1
TCF7,0.0276672254920348,0.048992986566496,0.0233629765290413,0.0508474908185394,0.278,0.161,1.72670807453416,1
