,dc_p_val,dc_delta,sc_p_val,sc_delta,LAM.pct,nonLAM.pct,pct.fc,Score
SIRT1,4.45257456240717e-15,0.204935679959621,0.00795786416418295,0.0637179021873957,0.118,0.101,1.16831683168317,1
VHL,6.2197276130359e-14,0.195897464408412,3.25176891153505e-09,0.15308974404624,0.116,0.072,1.61111111111111,1
EWSR1,6.55230223501471e-14,0.195714850007361,1.0250818535978e-05,0.112573605368405,0.406,0.41,0.990243902439024,1
SKIL,3.53040496294691e-13,0.189719184028049,1.02715077429868e-27,0.286343337145956,0.232,0.314,0.738853503184713,1
MNT,4.5999355461885e-13,0.188760406365975,1.15654296821778e-15,0.203146391991286,0.101,0.062,1.62903225806452,1
HCFC1,2.06888365507972e-12,0.183221224332734,1.61365223256726e-13,0.188647183355062,0.116,0.119,0.974789915966387,1
NFIL3,7.72903805488921e-12,0.178229677276418,0.00463374034267373,0.0687299074705115,0.17,0.126,1.34920634920635,1
PPARGC1B,2.4974350144266e-11,0.173672021620546,0.030332248355,0.026986847806826,0.143,0.04,3.575,1
RUNX1,5.10251930747126e-11,0.170838583237081,0.000274229404093198,0.0913384865159983,0.288,0.344,0.837209302325581,1
CREB5,5.45901623239011e-11,0.17055003374306,1.73618345345398e-09,0.154677469026869,0.151,0.098,1.54081632653061,1
SMARCC1,8.29719470500535e-11,0.168884484210101,0.00100321514691247,0.0791141494093975,0.381,0.306,1.24509803921569,1
PPARGC1A,2.57612359524509e-10,0.164244735364247,1.01219725942533e-10,0.168074848583093,0.135,0.047,2.87234042553191,1
HDGF,2.97712902324431e-10,0.163643221851094,0.0140978558407332,0.0571437316930104,0.234,0.299,0.782608695652174,1
ID4,6.04084533575804e-09,0.150611591662539,1.25644983052161e-05,0.108635214511536,0.166,0.243,0.683127572016461,1
WWTR1,1.06662184650029e-08,0.148028441203889,0.0380557951515886,0.0426581618746524,0.331,0.468,0.707264957264957,1
RXRB,1.29978089439104e-08,0.147120158401855,0.0253945138115668,0.0513536370562725,0.114,0.107,1.06542056074766,1
NFIA,4.3025333135529e-08,0.141503620325295,4.02575582061533e-05,0.104208741378653,0.542,0.519,1.04431599229287,1
YY1,4.31905843031003e-08,0.141485296417322,3.19714406383372e-09,0.153453723490979,0.379,0.349,1.08595988538682,1
NFYC,6.66143745576561e-08,0.139399546358342,0.00790466244280611,0.0637572569442926,0.186,0.172,1.08139534883721,1
ING4,1.03973848581094e-07,0.137225456322571,0.0104542879503982,0.0598424477076271,0.11,0.077,1.42857142857143,1
ZNF160,1.21329113816944e-07,0.136464077123663,0.0164175396984691,0.0325228543901064,0.124,0.111,1.11711711711712,1
TCF20,1.71070700517682e-07,0.134755060365824,1.36124025469489e-06,0.11951591983207,0.124,0.144,0.861111111111111,1
HDX,2.04640892713241e-07,0.133855679234994,6.39322761656798e-05,0.0422302569782335,0.143,0.06,2.38333333333333,1
CREM,2.38654778205471e-07,0.133079359804301,3.58934390596493e-08,0.142367394771314,0.402,0.263,1.52851711026616,1
ARID1A,2.65749121187111e-07,0.132533911202758,0.00141771221293845,0.0769848280124245,0.211,0.281,0.750889679715302,1
ARNT,6.70808382228525e-07,0.127747727262789,7.36634517692659e-08,0.138911151742989,0.286,0.149,1.91946308724832,1
HMGB2,1.33167647072156e-06,0.124093044640163,0.0157628030874671,0.0550833852337204,0.213,0.189,1.12698412698413,1
ID3,2.27973188337827e-06,0.121156482217793,8.62144942005181e-13,0.186464295761201,0.354,0.446,0.79372197309417,1
SRSF2,9.61630585603768e-06,0.112950546895774,0.0141033992993328,0.0579887137220459,0.545,0.543,1.0036832412523,1
EBF1,1.22817050210364e-05,0.111501032073294,0.00427921128816167,0.0676864858471757,0.166,0.056,2.96428571428571,1
CEBPG,1.67733878899411e-05,0.10962913034941,0.00025279372917157,0.091916730748288,0.137,0.182,0.752747252747253,1
ZEB1,6.45470853757978e-05,0.101177748362353,0.00913829402048942,0.0623732813267509,0.354,0.153,2.31372549019608,1
MAFB,0.000101436618594511,0.0981973022626487,0.000405379624380577,0.0885156676701088,0.17,0.172,0.988372093023256,1
KAT5,0.000188677230615272,0.0939691646109532,0.0011342882650376,0.080679750353412,0.174,0.137,1.27007299270073,1
THRB,0.000394177108456599,0.0887206663905587,0.0333238986197074,0.0484732436586264,0.234,0.194,1.20618556701031,1
LITAF,0.000596580645481223,0.0856457896969246,0.000203775479358258,0.0934328779633976,0.511,0.391,1.30690537084399,1
SOX4,0.0073633115262416,0.0644629876840433,0.000260301200259533,0.0917091812565578,0.478,0.359,1.33147632311978,1
ABL1,0.0176200907743863,0.0556501249669701,6.89523269023148e-07,0.127495461188818,0.286,0.216,1.32407407407407,1
FOSL2,0.0181736171103799,0.0553180041349564,0.000592149467034761,0.085701802551979,0.398,0.353,1.12747875354108,1
SP3,0.0241869988496588,0.0521741004470825,0.00473589799820878,0.0685729569519345,0.244,0.222,1.0990990990991,1
USF2,0.0318226967438842,0.0490180675814878,0.00352106218896478,0.0712240412171323,0.255,0.161,1.58385093167702,1
