,dc_lam12_p_val,dc_lam12_delta,sc_lam12_p_val,sc_lam12_delta,dc_nonlam_p_val,dc_nonlam_delta,sc_nonlam_p_val,sc_nonlam_delta,LAM1.pct,LAM2.pct,nonLAM.pct,pct.fc.12,pct.fc.nl,Score
THRB,2.86286880242129e-07,0.352253934382502,4.66638153268276e-10,0.431154974659909,2.64162600832495e-14,0.340980706591992,1.0778662229642e-14,0.346248925624526,0.411,0.13,0.194,3.16153846153846,2.11855670103093,0.0875856607222383
GTF3A,5.57670816325382e-09,0.402400640170712,9.28633585990553e-08,0.367244598559616,4.31450655213462e-31,0.522776760047609,1.53906352279812e-24,0.460193655986362,0.399,0.47,0.281,0.848936170212766,1.41992882562278,0.099552765193538
IKZF4,7.67300222304224e-05,0.26668444918645,0.00135297044934998,0.210989597225927,6.28508058568687e-78,0.845130433655888,1.44061813878017e-107,0.809246292826164,0.123,0.061,0.071,2.01639344262295,1.73239436619718,0.135934065450817
SMAD3,0.000115525039081014,0.259429181114964,0.000539895385556821,0.230301413710323,2.92631971308901e-43,0.622621334243223,8.80329546446814e-38,0.579777430741731,0.319,0.296,0.197,1.0777027027027,1.61928934010152,0.139847879614302
KLF5,4.62710215077228e-11,0.456388370232062,5.14057266321884e-11,0.45526807148573,1.13510079426991e-41,0.610502872508266,1.33840651971974e-28,0.499914389319736,0.129,0.104,0.378,1.24038461538462,0.341269841269841,0.149540515045512
NFIA,0.000607060020705967,0.22795412109896,0.000372270478605203,0.237610029341158,1.88986625070383e-25,0.469448864663552,7.73423583383305e-22,0.431927631672311,0.822,0.643,0.519,1.27838258164852,1.58381502890173,0.182403709324731
NACC1,7.85109094165284e-06,0.304241130968258,7.11101808377232e-06,0.301680448119499,2.84248682031952e-31,0.524401357677412,2.06917292610313e-33,0.500751060184154,0.11,0.078,0.076,1.41025641025641,1.44736842105263,0.214766558553391
SREBF1,1.71892414551764e-06,0.327073886369699,0.000307526569094088,0.24129101093625,2.96028974494255e-29,0.506025295102329,5.21117504215007e-20,0.411659341683177,0.221,0.191,0.121,1.15706806282723,1.82644628099174,0.21750594173
FOXO3,0.000477078255729837,0.232755401440384,0.00278545176614434,0.195305414777274,4.89590397507405e-40,0.597779274379299,8.89753091962548e-33,0.537700475532622,0.828,0.617,0.382,1.3419773095624,2.16753926701571,0.21750594173
MEF2C,7.73559032980724e-10,0.425446785809549,5.43532162580752e-08,0.374179781275007,8.02961514199207e-20,0.40952262250657,3.12955451455471e-17,0.378841914248641,0.282,0.165,0.271,1.70909090909091,1.04059040590406,0.281995130526345
RLF,7.85109094165284e-06,0.304241130968258,1.97636110644447e-05,0.288770338757002,1.59619035816695e-12,0.315797592288313,3.46035474845498e-09,0.2612575730745,0.436,0.304,0.194,1.43421052631579,2.24742268041237,0.306741123829006
NFIL3,8.37960526334796e-09,0.397492664710589,1.518197964181e-11,0.468071485729528,1.08150928047434e-18,0.396433597888332,2.5259034247082e-20,0.414970855347876,0.233,0.252,0.126,0.924603174603175,1.84920634920635,0.35986328125
ZFHX3,0.00156946015691786,0.208108829021072,0.00907419119115649,0.166284342491331,2.65180652573919e-60,0.740347897124036,1.35043553805199e-49,0.636803553259715,0.632,0.383,0.3,1.65013054830287,2.10666666666667,0.444187676216228
PGR,0.000317975497327948,0.24065084022406,1.32600354836282e-08,0.391891170978928,3.98940393386307e-20,0.412974352582728,2.65268900188879e-45,0.637867439497158,0.337,0.391,0.016,0.861892583120205,21.0625,0.532994746567176
CLOCK,2.60380562080678e-08,0.38351560416111,8.51083175571949e-07,0.33715657508669,1.05932890844539e-14,0.346350115906063,1.92336984648443e-06,0.209331224791125,0.294,0.243,0.218,1.20987654320988,1.34862385321101,0.693112165236192
ATF5,2.35141834197358e-06,0.322485996265671,0.00113277234324055,0.215097359295812,1.07794238381977e-34,0.554187858523646,9.73026696710677e-14,0.333174246579738,0.19,0.183,0.084,1.03825136612022,2.26190476190476,0.944892805120001
CEBPB,0.00017623164849521,0.251747132568685,0.00635501861991411,0.175566817818085,2.93576797708225e-35,0.558955370766745,3.48417512512501e-27,0.486455619114844,0.736,0.687,0.557,1.07132459970888,1.3213644524237,0.944892805120001
CEBPG,0.00222243886128908,0.200426780474793,0.00235258326021209,0.199146439050413,8.98397591796258e-21,0.42023830311302,5.62196678995963e-20,0.411285122745663,0.221,0.148,0.182,1.49324324324324,1.21428571428571,0.944892805120001
MECOM,2.8061445353316e-12,0.485302747399306,3.20497718128837e-08,0.380901573753001,2.90755857283915e-09,0.263821882891994,1.88149230714085e-05,0.186766871782658,0.16,0.078,0.415,2.05128205128205,0.385542168674699,0.986189767454076
