p_val	avg_log2FC	pct.1	pct.2	p_val_adj	symbol	pct.fc
ENSG00000171791	0.000261454401866016	-1.06261483100033	0.18	0.357	1	BCL2	0.504201680672269
ENSG00000174748	0.000265068122311477	0.594711273095837	0.859	0.774	1	RPL15	1.10981912144703
ENSG00000130226	0.000273624749950636	-1.27454186701825	0.18	0.357	1	DPP6	0.504201680672269
ENSG00000258537	0.000283183477554956	0.841608787026459	0.107	0	1	FRMD6-AS2	Inf
ENSG00000240972	0.000304243626998789	1.21362840716465	0.663	0.678	1	MIF	0.97787610619469
ENSG00000156508	0.000320792334993128	0.906973485438666	0.951	0.948	1	EEF1A1	1.00316455696203
ENSG00000108298	0.000332486482045542	0.601732779019777	0.859	0.809	1	RPL19	1.06180469715698
ENSG00000196262	0.000354589484256482	0.769985934138472	0.756	0.748	1	PPIA	1.01069518716578
ENSG00000099250	0.000377746330110311	-0.684235062260002	0.117	0.278	1	NRP1	0.420863309352518
ENSG00000185008	0.000379088476093362	-0.753345696584479	0.02	0.113	1	ROBO2	0.176991150442478
ENSG00000197956	0.000382420255567046	0.614427755316728	0.893	0.809	1	S100A6	1.10383189122373
ENSG00000156482	0.000406878209459976	0.653853331276379	0.844	0.835	1	RPL30	1.01077844311377
ENSG00000154447	0.000415823039116242	-0.617474336692652	0.107	0.261	1	SH3RF1	0.409961685823755
ENSG00000116991	0.000419744285169167	-1.04239781254364	0.093	0.235	1	SIPA1L2	0.395744680851064
ENSG00000166923	0.000436905998485931	1.38723827861292	0.22	0.07	1	GREM1	3.14285714285714
ENSG00000164946	0.000441230689834721	-0.685656749722356	0.024	0.122	1	FREM1	0.19672131147541
ENSG00000112182	0.000443265553941158	-0.700884084557149	0.102	0.243	1	BACH2	0.419753086419753
ENSG00000188352	0.000478001128201559	-0.613864932025999	0.102	0.243	1	FOCAD	0.419753086419753
ENSG00000134909	0.000532881729791158	-0.752552777182629	0.127	0.278	1	ARHGAP32	0.456834532374101
ENSG00000197728	0.000544241299135754	0.929126418023145	0.722	0.774	1	RPS26	0.9328165374677
ENSG00000144713	0.000544858363435669	0.611713883384975	0.883	0.817	1	RPL32	1.08078335373317
ENSG00000157764	0.000557514311236572	-0.59708741147222	0.156	0.33	1	BRAF	0.472727272727273
ENSG00000198034	0.00057557447237961	0.649824605374326	0.863	0.843	1	RPS4X	1.02372479240807
ENSG00000173641	0.000579270811896885	0.765458631498342	0.171	0.043	1	HSPB7	3.97674418604651
ENSG00000178980	0.00060273543459403	1.21275507757778	0.576	0.574	1	SELENOW	1.00348432055749
ENSG00000109475	0.000611483770696071	0.591541271988943	0.859	0.87	1	RPL34	0.98735632183908
ENSG00000167996	0.000656100101967738	0.761086089678932	0.927	0.896	1	FTH1	1.03459821428571
ENSG00000121769	0.000661098519825798	1.16642813773964	0.244	0.104	1	FABP3	2.34615384615385
ENSG00000110700	0.000665129462555317	0.622767621264774	0.795	0.8	1	RPS13	0.99375
ENSG00000017427	0.000672485046954521	-0.755977679810525	0.098	0.243	1	IGF1	0.403292181069959
ENSG00000198668	0.000727771582939666	0.979664825703443	0.717	0.765	1	CALM1	0.937254901960784
ENSG00000166165	0.000746824630887995	1.44386062976334	0.395	0.27	1	CKB	1.46296296296296
ENSG00000154493	0.000753961411013034	-0.648059693673556	0.083	0.217	1	C10orf90	0.382488479262673
ENSG00000197943	0.000782357434834539	-0.79788320338478	0.224	0.409	1	PLCG2	0.547677261613692
ENSG00000134532	0.000791368142871222	-0.863784748135752	0.146	0.304	1	SOX5	0.480263157894737
ENSG00000145936	0.000870940196600864	0.903551654029616	0.19	0.061	1	KCNMB1	3.11475409836066
ENSG00000117569	0.00090624632681867	-0.599622959875481	0.18	0.357	1	PTBP2	0.504201680672269
ENSG00000113391	0.000985680522648219	-0.617374340673384	0.195	0.374	1	FAM172A	0.521390374331551
ENSG00000185664	0.00103885837144286	-0.78852358835404	0.322	0.513	1	PMEL	0.627680311890838
ENSG00000167283	0.00107427617449973	0.917698718811408	0.698	0.748	1	ATP5MG	0.933155080213904
ENSG00000067798	0.00120383977900232	-0.664543868253532	0.122	0.278	1	NAV3	0.438848920863309
ENSG00000156103	0.00120551467002326	-0.829403788547004	0.093	0.226	1	MMP16	0.411504424778761
ENSG00000185052	0.00121519959775765	-1.01357689239907	0.068	0.183	1	SLC24A3	0.371584699453552
ENSG00000135821	0.00129465993080874	1.46857886659001	0.512	0.487	1	GLUL	1.05133470225873
ENSG00000145741	0.00142475731964905	0.816971420161673	0.673	0.748	1	BTF3	0.899732620320856
ENSG00000033867	0.00156529999248791	-0.629938821011872	0.146	0.304	1	SLC4A7	0.480263157894737
ENSG00000187720	0.00163841176185192	-1.222734405348	0.2	0.348	1	THSD4	0.574712643678161
ENSG00000100097	0.00188761087594424	-0.64589884980494	0.737	0.783	1	LGALS1	0.94125159642401
ENSG00000157168	0.00196923530352723	-1.2317637144192	0.083	0.2	1	NRG1	0.415
ENSG00000133424	0.00202955322297079	-0.676268813336479	0.176	0.322	1	LARGE1	0.546583850931677
ENSG00000174945	0.00208719576786354	-0.628615552122213	0.029	0.113	1	AMZ1	0.256637168141593
ENSG00000198755	0.00221647128385502	0.618581617047503	0.815	0.739	1	RPL10A	1.10284167794317
ENSG00000122406	0.00239342834787099	0.587279910921104	0.873	0.835	1	RPL5	1.04550898203593
